date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:32:06	33158/33158	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2011:02:06%20GMT	https://www.zuyyu.in/pizza-shop/	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/pizza-shop/index.html	(from https://www.zuyyu.in/)
16:32:07	32571/32571	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2011:02:07%20GMT	https://www.zuyyu.in/corporates/	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/corporates/index.html	(from https://www.zuyyu.in/)
16:32:07	15598/15598	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2011:02:07%20GMT	https://www.zuyyu.in/about/	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/about/index.html	(from https://www.zuyyu.in/)
16:32:07	409439/409439	---M--	200	added ('OK')	image/png	etag:%22655ddfe3-63f5f%22	https://www.zuyyu.in/static/website/img/feature/inventory.png	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/img/feature/inventory.png	(from https://www.zuyyu.in/)
16:32:07	451820/451820	---M--	200	added ('OK')	image/png	etag:%22655ddfe3-6e4ec%22	https://www.zuyyu.in/static/website/img/feature/waiters.png	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/img/feature/waiters.png	(from https://www.zuyyu.in/)
16:32:08	18383/18383	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2011:02:07%20GMT	https://www.zuyyu.in/contact/	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/contact/index.html	(from https://www.zuyyu.in/)
16:32:08	83656/83656	---M--	200	added ('OK')	image/png	etag:%22655ddfe3-146c8%22	https://www.zuyyu.in/static/website/img/feature/turn-table-faster.png	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/img/feature/turn-table-faster.png	(from https://www.zuyyu.in/)
16:32:08	11901/11901	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2011:02:08%20GMT	https://www.zuyyu.in/blog/	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/blog/index.html	(from https://www.zuyyu.in/)
16:32:08	18873/18873	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2011:02:08%20GMT	https://www.zuyyu.in/reseller/	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/reseller/index.html	(from https://www.zuyyu.in/)
16:32:08	20812/20812	---M--	200	added ('OK')	image/png	etag:%2262a09005-514c%22	https://www.zuyyu.in/static/website/img/icons/restaurants.png	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/img/icons/restaurants.png	(from https://www.zuyyu.in/)
16:32:08	384098/384098	---M--	200	added ('OK')	image/png	etag:%226333f9c7-5dc62%22	https://www.zuyyu.in/static/website/img/feature/payment.png	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/img/feature/payment.png	(from https://www.zuyyu.in/)
16:32:09	14664/14664	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2011:02:09%20GMT	https://www.zuyyu.in/pricing/	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/pricing/index.html	(from https://www.zuyyu.in/)
16:32:09	15743/15743	---M--	200	added ('OK')	image/png	etag:%2262a09005-3d7f%22	https://www.zuyyu.in/static/website/img/icons/hotels.png	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/img/icons/hotels.png	(from https://www.zuyyu.in/)
16:32:09	15440/15440	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2011:02:09%20GMT	https://www.zuyyu.in/book-demo/	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/book-demo/index.html	(from https://www.zuyyu.in/)
16:32:09	16122/16122	---M--	200	added ('OK')	image/png	etag:%2262a09005-3efa%22	https://www.zuyyu.in/static/website/img/icons/corporates.png	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/img/icons/corporates.png	(from https://www.zuyyu.in/)
16:32:09	2932/2932	---M--	200	added ('OK')	image/png	etag:%2262aad662-b74%22	https://www.zuyyu.in/static/website/img/icons/user.png	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/img/icons/user.png	(from https://www.zuyyu.in/)
16:32:10	15046/15046	---M--	200	added ('OK')	image/png	etag:%22655ddfe3-3ac6%22	https://www.zuyyu.in/static/website/img/payment.png	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/img/payment.png	(from https://www.zuyyu.in/)
16:32:10	117022/117022	---M--	200	added ('OK')	image/png	etag:%22655ddfe3-1c91e%22	https://www.zuyyu.in/static/website/img/business-today.png	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/img/business-today.png	(from https://www.zuyyu.in/)
16:32:10	2505/2505	---M--	200	added ('OK')	image/png	etag:%2262aad662-9c9%22	https://www.zuyyu.in/static/website/img/icons/payment.png	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/img/icons/payment.png	(from https://www.zuyyu.in/)
16:32:11	21393/21393	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2011:02:11%20GMT	https://www.zuyyu.in/privacy/	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/privacy/index.html	(from https://www.zuyyu.in/)
16:32:11	36804/36804	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2011:02:11%20GMT	https://www.zuyyu.in/terms/	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/terms/index.html	(from https://www.zuyyu.in/)
16:32:11	384744/384744	---MCZ	200	added ('OK')	application/javascript	etag:W/%226299f9e7-5dee8%22	https://www.zuyyu.in/static/website/js/master-dist.js	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/js/master-dist.js	(from https://www.zuyyu.in/)
16:32:11	28977/28977	---MCZ	200	added ('OK')	text/css	etag:W/%226299f9e7-7131%22	https://www.zuyyu.in/static/website/css/bootstrap/bootstrap-grid.min.css	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/css/bootstrap/bootstrap-grid.min.css	(from https://www.zuyyu.in/static/website/css/style.css)
16:32:11	14821/14821	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2011:02:11%20GMT	https://www.zuyyu.in/cookie/	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/cookie/index.html	(from https://www.zuyyu.in/)
16:32:12	3604/3604	---MCZ	200	added ('OK')	text/css	etag:W/%226299f9e7-e14%22	https://www.zuyyu.in/static/website/css/bootstrap/bootstrap-reboot.min.css	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/css/bootstrap/bootstrap-reboot.min.css	(from https://www.zuyyu.in/static/website/css/style.css)
16:32:12	15237/15237	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2011:02:12%20GMT	https://www.zuyyu.in/refund/	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/refund/index.html	(from https://www.zuyyu.in/)
16:32:12	14685/14685	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2011:02:12%20GMT	https://www.zuyyu.in/support-policy/	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/support-policy/index.html	(from https://www.zuyyu.in/)
16:32:12	62084/62084	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226299f9e7-f284%22	https://www.zuyyu.in/static/website/fonts/feather.eot	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/fonts/feather.eot	(from https://www.zuyyu.in/static/website/css/style.css)
16:32:13	29500/29500	---M--	200	added ('OK')	application/font-woff	etag:%226299f9e7-733c%22	https://www.zuyyu.in/static/website/fonts/feather.woff	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/fonts/feather.woff	(from https://www.zuyyu.in/static/website/css/style.css)
16:32:13	61920/61920	---M--	200	added ('OK')	application/octet-stream	etag:%226299f9e7-f1e0%22	https://www.zuyyu.in/static/website/fonts/feather.ttf	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/fonts/feather.ttf	(from https://www.zuyyu.in/static/website/css/style.css)
16:32:13	213926/213926	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226299f9e7-343a6%22	https://www.zuyyu.in/static/website/fonts/feather.svg	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/fonts/feather.svg	(from https://www.zuyyu.in/static/website/css/style.css)
16:32:13	134396/134396	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226299f9e7-20cfc%22	https://www.zuyyu.in/static/website/fonts/fa-brands-400.eot	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/fonts/fa-brands-400.eot	(from https://www.zuyyu.in/static/website/css/style.css)
16:32:14	134396/134396	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226299f9e7-20cfc%22	https://www.zuyyu.in/static/website/fonts/fa-brands-400d41d.eot?	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/fonts/fa-brands-400d41dd41d.eot	(from https://www.zuyyu.in/static/website/css/style.css)
16:32:14	74288/74288	---M--	200	added ('OK')	application/octet-stream	etag:%226299f9e7-12230%22	https://www.zuyyu.in/static/website/fonts/fa-brands-400.woff2	C:/Users/PC/Desktop/web%20htrack/zyu/zyu/www.zuyyu.in/static/website/fonts/fa-brands-400.woff2	(from https://www.zuyyu.in/static/website/css/style.css)
